META,DeadlineMisses,140
META,CPUUtil,100
Tick,CPU_Task,CPU_Util%,TaskID,Name,State
64,IDLE,100,5,T5,ready
64,IDLE,100,6,T6,finished
64,IDLE,100,7,T7,finished
64,IDLE,100,8,T8,finished
64,IDLE,100,9,T9,finished
64,IDLE,100,10,T10,finished
65,IDLE,100,1,T1,missed
65,IDLE,100,2,T2,ready
65,IDLE,100,3,T3,missed
65,IDLE,100,4,T4,ready
65,IDLE,100,5,T5,finished
65,IDLE,100,6,T6,finished
65,IDLE,100,7,T7,finished
65,IDLE,100,8,T8,finished
65,IDLE,100,9,T9,finished
65,IDLE,100,10,T10,finished
66,IDLE,100,1,T1,missed
66,IDLE,100,2,T2,ready
66,IDLE,100,3,T3,missed
66,IDLE,100,4,T4,finished
66,IDLE,100,5,T5,finished
66,IDLE,100,6,T6,finished
66,IDLE,100,7,T7,finished
66,IDLE,100,8,T8,finished
66,IDLE,100,9,T9,finished
66,IDLE,100,10,T10,finished
67,IDLE,100,1,T1,missed
67,IDLE,100,2,T2,missed
67,IDLE,100,3,T3,missed
67,IDLE,100,4,T4,finished
67,IDLE,100,5,T5,finished
67,IDLE,100,6,T6,finished
67,IDLE,100,7,T7,finished
67,IDLE,100,8,T8,finished
67,IDLE,100,9,T9,finished
67,IDLE,100,10,T10,finished
68,T4,100,1,T1,missed
68,T4,100,2,T2,missed
68,T4,100,3,T3,missed
68,T4,100,4,T4,running
68,T4,100,5,T5,finished
68,T4,100,6,T6,finished
68,T4,100,7,T7,finished
68,T4,100,8,T8,finished
68,T4,100,9,T9,finished
68,T4,100,10,T10,finished
70,T6,100,1,T1,missed
70,T6,100,2,T2,missed
70,T6,100,3,T3,missed
70,T6,100,4,T4,ready
70,T6,100,5,T5,finished
70,T6,100,6,T6,running
70,T6,100,7,T7,finished
70,T6,100,8,T8,finished
70,T6,100,9,T9,finished
70,T6,100,10,T10,finished
71,IDLE,100,1,T1,missed
71,IDLE,100,2,T2,missed
71,IDLE,100,3,T3,missed
71,IDLE,100,4,T4,ready
71,IDLE,100,5,T5,finished
71,IDLE,100,6,T6,finished
71,IDLE,100,7,T7,finished
71,IDLE,100,8,T8,finished
71,IDLE,100,9,T9,finished
71,IDLE,100,10,T10,finished
72,IDLE,100,1,T1,missed
72,IDLE,100,2,T2,missed
72,IDLE,100,3,T3,ready
72,IDLE,100,4,T4,ready
72,IDLE,100,5,T5,ready
